ctuniq,boroCT2000,ctrdlong,ctrdlat,popdens,povrate,unemp,busdens,subdens,subacc,intdens,landind,nonres,resid,ptrans,pwalk,propoa,propnonw,borocodenum,precpop,precinct,offpcap
MN011500,1011500,-73.995036,40.75727,8229.800913,0.306486101,0.324150597,41.06101667,11.73171905,1,105.5854714,0.462505478,0.86657009,0.13342991,0.4625,0.401388889,0.054169637,0.452601568,1,1467,10,0.037582666
MN010300,1010300,-73.997932,40.7529,8904.471219,0.172551632,0.067119796,41.52651468,23.72943696,1,47.45887392,0.290216103,0.921243367,0.078756633,0.601123596,0.210674157,0.061958694,0.342438374,1,1463,10,0.037582666
MN009700,1009700,-73.997414,40.749529,28558.31146,0.227082461,0.126358696,17.65765342,0,0,47.08707578,0.864624463,0.683967074,0.316032926,0.611721612,0.285191,0.287304205,0.356141797,1,4852,10,0.037582666
MN011700,1011700,-73.99813,40.758974,2524.258669,0.675675676,0.762295082,27.14256633,0,0,54.28513266,0.981249924,0.568465458,0.431534542,0,0,0,0.728494624,1,340,10,0.037582666
MN008300,1008300,-74.00575,40.743253,20973.17957,0.239099047,0.076323988,30.0475352,24.03802816,1,60.0950704,0.556932716,0.832816497,0.167183503,0.666666667,0.245250432,0.121489971,0.385673352,1,3477,10,0.037582666
MN031702,1031702,-74.009049,40.747565,0,,,5.79396655,0,0,78.21854842,0,1,0,,,,,1,3,10,0.037582666
MN008100,1008100,-74.000125,40.741012,46813.57269,0.088435374,0.03619403,31.80702045,76.33684907,1,57.2526368,0.985129519,0.43902771,0.56097229,0.603339882,0.204911591,0.079494497,0.178149205,1,7359,10,0.037582666
MN008900,1008900,-74.004017,40.74559,32462.18339,0.091897045,0.066180302,18.30574251,0,0,61.01914171,0.963907751,0.405010199,0.594989801,0.576966933,0.258266819,0.094924812,0.227067669,1,5320,10,0.037582666
MN009300,1009300,-73.999908,40.746252,48564.89996,0.154703112,0.062315707,44.58563228,27.86602018,1,44.58563228,0.629599958,0.195697502,0.804302498,0.59969886,0.259625726,0.186252008,0.212072527,1,8714,10,0.037582666
MN011100,1011100,-73.996047,40.755106,17381.03274,0.227946128,0.080536913,29.09446391,23.27557112,1,75.64560615,0.395366095,0.888791044,0.111208956,0.538666667,0.353066667,0.050887178,0.421158353,1,3048,10,0.037582666
