"","ctuniq","lot","bldgclass","borocode","borough","id","x","y"
"12188","BX020200",53,"K1",2,"BX","12188",-73.8455182447224,40.8382167530591
"12189","BX019800",2,"P8",2,"BX","12189",-73.8438014291999,40.8398365666035
"12190","BX019800",18,"I5",2,"BX","12190",-73.8441626654035,40.8414509464163
"12191","BX019800",21,"K2",2,"BX","12191",-73.8440248721457,40.8416456347528
"12192","BX019800",25,"K1",2,"BX","12192",-73.8439529244331,40.8415028123904
"12193","BX019800",26,"K2",2,"BX","12193",-73.8437649709929,40.8415107920965
"12194","BX019800",30,"K1",2,"BX","12194",-73.8440987627106,40.8409595565003
"12195","BX019800",35,"K2",2,"BX","12195",-73.8436794382295,40.840997414947
"12196","BX019800",18,"K2",2,"BX","12196",-73.8459206032842,40.8423755314021
"12197","BX019800",34,"K1",2,"BX","12197",-73.8453066356466,40.8421853244965
"12198","BX019800",37,"K1",2,"BX","12198",-73.844934729611,40.842033865954
"12199","BX019800",43,"K1",2,"BX","12199",-73.8446494684386,40.841923693619
"12200","BX019800",44,"K2",2,"BX","12200",-73.8445301055925,40.8419647034796
"12201","BX019800",45,"K1",2,"BX","12201",-73.8444980659111,40.8417560621547
"12202","BX020400",71,"K1",2,"BX","12202",-73.8513006709725,40.8397860948003
"12203","BX020400",1,"I1",2,"BX","12203",-73.8484579657822,40.8406963843048
"12204","BX020400",6,"K1",2,"BX","12204",-73.8519346806561,40.8407118785953
"12205","BX020400",34,"K1",2,"BX","12205",-73.8520647576416,40.8423506385947
"12206","BX019800",22,"K1",2,"BX","12206",-73.8499353216813,40.8426552955729
"12207","BX019800",48,"K1",2,"BX","12207",-73.84633924413,40.8426368374941
"12208","BX022000",17,"K5",2,"BX","12208",-73.8769450402144,40.8402280116828
"12209","BX022000",41,"K1",2,"BX","12209",-73.8695391571488,40.844260087189
"12210","BX022000",130,"K4",2,"BX","12210",-73.868305590118,40.848466324249
"12211","BX024000",45,"M1",2,"BX","12211",-73.8710845324577,40.8413222397061
"12212","BX024000",1,"K1",2,"BX","12212",-73.8706023772953,40.8402238152186
"12213","BX024000",3,"M1",2,"BX","12213",-73.8698948532171,40.8434947148292
"12214","BX024000",37,"M1",2,"BX","12214",-73.8681358562186,40.8429218176061
"12215","BX023600",12,"M1",2,"BX","12215",-73.8678911377935,40.8442142961356
"12216","BX023600",3,"K1",2,"BX","12216",-73.8674276201091,40.8446611520551
"12217","BX023600",8,"K1",2,"BX","12217",-73.8670296586164,40.8448555683835
"12218","BX023600",27,"M1",2,"BX","12218",-73.8667460531743,40.8438945926184
"12219","BX023400",5,"K1",2,"BX","12219",-73.8646686266874,40.8452919760948
"12220","BX023400",6,"K1",2,"BX","12220",-73.8645603143033,40.8452342100677
"12221","BX023400",7,"K1",2,"BX","12221",-73.8636380940686,40.8455103392285
"12222","BX023400",5,"K4",2,"BX","12222",-73.862922121759,40.8456714284905
"12223","BX024000",10,"K1",2,"BX","12223",-73.8645745723358,40.8417813810188
"12224","BX024200",204,"K4",2,"BX","12224",-73.8561725729629,40.8430447563991
"12225","BX024200",222,"K1",2,"BX","12225",-73.8553098114787,40.842568842336
"12226","BX024200",224,"K1",2,"BX","12226",-73.8547026299036,40.8425680790907
"12227","BX023400",1,"M1",2,"BX","12227",-73.8622279969591,40.8457529428281
"12228","BX023400",29,"K1",2,"BX","12228",-73.8592612549172,40.8454474432384
"12229","BX023400",25,"K1",2,"BX","12229",-73.85977273126,40.8462824578706
"12230","BX023600",4,"K1",2,"BX","12230",-73.8673903610132,40.8452210300002
"12231","BX023600",2,"K2",2,"BX","12231",-73.8666562907432,40.8454013345929
"12232","BX023600",57,"K1",2,"BX","12232",-73.8665902970094,40.8458678588816
"12233","BX023200",1,"K2",2,"BX","12233",-73.8657740008435,40.8455951856835
