"","CTLabel","BoroCode","BoroName","CT2000","BoroCT2000","CDEligibil","NTACode","NTANAme","PUMA","Shape_Leng","Shape_Area","id","Name","popdens","povrate","unemp","busdens","subdens","subacc","intdens","landind","nonres","resid","ptrans","pwalk","propoa","propnonw","offpcap","avg_er_charges_tot","avg_charges_tot","avgChronCond","ctrdlong","ctrdlat"
"50","261","1","Manhattan","026100","1026100","E","MN36","Washington Heights South","3801",5532.10010356,1681539.20646,"49",NA,81325.58212,0.344886014,0.130997877,49.7404172,0,0,74.6106258,0.697724135,0.225101898,0.774898102,0.620157002,0.118511015,0.076223242,0.823547401,0.015278491,1824.92651851852,47551.875335277,5.35555555555556,-73.933636,40.845683
"51","263","1","Manhattan","026300","1026300","E","MN36","Washington Heights South","3801",5730.54169915,1691892.03356,"50",NA,61971.77761,0.273677737,0.173246166,138.9643367,6.316560759,1,107.3815329,0.903738308,0.344869658,0.655130342,0.624921136,0.107886435,0.089389461,0.772296402,0.015278491,1772.54697761194,55604.3898727735,5.45878136200717,-73.937484,40.847283
"52","267","1","Manhattan","026700","1026700","E","MN35","Washington Heights North","3801",3869.44719891,518771.580458,"51",NA,42013.17637,0.461260331,0.18258427,43.20120963,0,0,86.40241927,0.954320581,0.60686372,0.39313628,0.496428571,0.198214286,0.085347044,0.550642674,0.016107481,1925.14807692308,37392.7421232877,5.13725490196078,-73.927557,40.8515
"53","269","1","Manhattan","026900","1026900","E","MN35","Washington Heights North","3801",6017.03670061,1889655.59775,"52",NA,54831.95945,0.406274163,0.277634298,55.21292866,11.04258573,1,104.9045645,0.999303329,0.51319726,0.48680274,0.583552385,0.157716861,0.067968986,0.730037257,0.016107481,1661.22146953405,59133.6113176144,5.1792828685259,-73.930341,40.850141
"54","277","1","Manhattan","027700","1027700","E","MN35","Washington Heights North","3801",5903.15252066,1760155.92009,"53",NA,50165.73492,0.305432984,0.188727858,30.9206946,0,0,92.76208381,0.998613598,0.518617212,0.481382788,0.600775194,0.117140396,0.16321499,0.753205128,0.016107481,1790.94683195592,74952.9574696133,5.42056074766355,-73.927873,40.855811
"55","283","1","Manhattan","028300","1028300","E","MN35","Washington Heights North","3801",6153.08355857,1622909.25073,"54",NA,58058.07195,0.297430355,0.144646925,13.87289652,13.87289652,1,69.36448261,0.558265298,0.167684374,0.832315626,0.619112628,0.102389079,0.115890084,0.663082437,0.016107481,1936.70497942387,45681.893694517,5.55263157894737,-73.928227,40.85933
"56","102","1","Manhattan","010200","1010200","I","MN17","Midtown-Midtown South","3807",5687.80233404,1860992.66528,"55",NA,1478.492286,0.090196078,0,86.97013446,23.19203586,1,98.56615238,0.054155508,0.986272684,0.013727316,0.405063291,0.341772152,0.196078431,0.039215686,0.093729627,1402.14391304348,49102.4958333333,5.52380952380952,-73.97385,40.759239
"57","103","1","Manhattan","010300","1010300","I","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","3807",5697.16870323,1877343.81904,"56",NA,8904.471219,0.172551632,0.067119796,41.52651468,23.72943696,1,47.45887392,0.290216103,0.921243367,0.078756633,0.601123596,0.210674157,0.061958694,0.342438374,0.037582666,2307.7783625731,48679.706970684,5.50943396226415,-73.997932,40.7529
"58","104","1","Manhattan","010400","1010400","I","MN17","Midtown-Midtown South","3807",5693.03611763,1864600.35089,"57",NA,6240.258751,0.116431925,0.10518732,123.0473557,23.43759155,1,52.73458099,0.091929918,0.976463556,0.023536444,0.483713355,0.319218241,0.244131455,0.098591549,0.093729627,2820.5303125,51860.4075,5.31395348837209,-73.97829,40.760277
"59","106.01","1","Manhattan","010601","1010601","I","MN19","Turtle Bay-East Midtown","3808",4538.70814487,1280936.5258,"58",NA,60714.58506,0.026775613,0.03286385,60.95841874,0,0,60.95841874,0.288817841,0.078341916,0.921658084,0.435078757,0.322903363,0.31375502,0.05496988,0.025786108,1957.50875808538,47327.7956585725,5.34388185654008,-73.961766,40.75845
"60","111","1","Manhattan","011100","1011100","I","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","3807",5698.1941334,1888974.58657,"59",NA,17381.03274,0.227946128,0.080536913,29.09446391,23.27557112,1,75.64560615,0.395366095,0.888791044,0.111208956,0.538666667,0.353066667,0.050887178,0.421158353,0.037582666,1365.70431372549,63436.8190967742,4.98214285714286,-73.996047,40.755106
"61","112.01","1","Manhattan","011201","1011201","I","MN17","Midtown-Midtown South","3807",3716.14678472,856164.331964,"60",NA,14589.566,0.104743083,0.013831259,109.2851386,54.64256929,1,81.96385394,0.394155823,0.889179964,0.110820036,0.288920056,0.532959327,0.161985019,0.128277154,0.093729627,1899.83196428571,53774.6263583815,5.40983606557377,-73.97552,40.764073
"62","112.02","1","Manhattan","011202","1011202","I","MN17","Midtown-Midtown South","3807",3688.76240032,839525.780795,"61",NA,5125.689128,0.158690176,0,154.9326688,0,0,103.2884459,0.23096296,0.938473785,0.061526215,0.412621359,0.349514563,0.277078086,0.229219144,0.093729627,1809.48535714286,42065.1792682927,5.63636363636364,-73.971499,40.762432
"63","112.03","1","Manhattan","011203","1011203","I","MN19","Turtle Bay-East Midtown","3808",3701.17328072,854082.504922,"62",NA,16290.11024,0.049795918,0.010973937,212.7687868,26.59609835,1,106.3843934,0.464922024,0.865745122,0.134254878,0.466019418,0.418862691,0.273469388,0.08,0.093729627,2059.2067816092,43620.151106383,5.73170731707317,-73.969863,40.761765
"64","113","1","Manhattan","011300","1011300","I","MN17","Midtown-Midtown South","3807",5699.86071133,1890907.30608,"63",NA,1662.971175,0.412935323,0.37254902,57.74205469,98.16149298,1,57.74205469,0.008236461,0.997936627,0.002063373,0.296875,0.421875,0.024305556,0.378472222,0.727919321,NA,NA,NA,-73.987311,40.754993
"65","114.02","1","Manhattan","011402","1011402","I","MN40","Upper East Side-Carnegie Hill","3805",4125.2562786,1063547.35813,"64",NA,25127.48503,0.048739496,0.025087108,21.11553364,73.90436775,1,116.135435,0.909026431,0.650809125,0.349190875,0.362426036,0.394230769,0.211344538,0.141596639,0.020178951,2109.66460526316,49816.2114574899,5.44767441860465,-73.966935,40.763005
"66","115","1","Manhattan","011500","1011500","I","MN15","Clinton","3807",5699.98995243,1889873.2375,"65",NA,8229.800913,0.306486101,0.324150597,41.06101667,11.73171905,1,105.5854714,0.462505478,0.86657009,0.13342991,0.4625,0.401388889,0.054169637,0.452601568,0.037582666,1279.45045454545,35040.7234375,5.27272727272727,-73.995036,40.75727
"67","117","1","Manhattan","011700","1011700","E","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","3807",5733.44070843,1675669.39681,"66",NA,2524.258669,0.675675676,0.762295082,27.14256633,0,0,54.28513266,0.981249924,0.568465458,0.431534542,0,0,0,0.728494624,0.037582666,NA,NA,NA,-73.99813,40.758974
"68","130","1","Manhattan","013000","1013000","I","MN40","Upper East Side-Carnegie Hill","3805",5807.97263217,1918144.45556,"67",NA,25203.66876,0.031175579,0.0116189,21.81191585,0,0,92.70064236,0.878019303,0.325371325,0.674628675,0.503853955,0.174442191,0.269147555,0.0577672,0.020178951,1987.99631268437,44427.3303014184,5.24552429667519,-73.964128,40.772474
"69","131","1","Manhattan","013100","1013100","I","MN17","Midtown-Midtown South","3807",5680.12289087,1874622.15384,"68",NA,12018.8508,0.151485631,0.070613409,17.56286041,64.39715482,1,76.10572842,0.173282111,0.954620141,0.045379859,0.3894081,0.497663551,0.198246469,0.22211398,0.093729627,1384.07570552147,41752.7318945313,5.89204545454545,-73.98271,40.76292
"70","140","1","Manhattan","014000","1014000","I","MN40","Upper East Side-Carnegie Hill","3805",5820.8157114,1925984.37356,"69",NA,44128.02477,0.037271086,0.01754386,34.14600833,22.76400555,1,102.438025,0.594575174,0.181635105,0.818364895,0.693054676,0.145028499,0.144054682,0.068093887,0.020178951,1913.33934285714,45777.6947163695,5.24121779859485,-73.95753,40.775736
"71","142","1","Manhattan","014200","1014200","I","MN40","Upper East Side-Carnegie Hill","3805",5821.70468019,1927688.10292,"70",NA,27712.08369,0.020116677,0.021014493,44.51740352,0,0,94.59948249,0.854491155,0.309271892,0.690728108,0.47766323,0.212294769,0.212851406,0.041967872,0.020178951,2096.89954861111,42637.5579672447,5.33888888888889,-73.962297,40.777721
"72","146.01","1","Manhattan","014601","1014601","I","MN32","Yorkville","3805",4016.13307218,799879.805033,"71",NA,53346.18675,0.079155001,0.021318465,54.31019267,0,0,40.7326445,0.904630628,0.34559034,0.65440966,0.734385494,0.080591001,0.054975821,0.14863833,0.020178951,2065.33690140845,37805.7552360515,4.55555555555556,-73.951366,40.776461
"73","146.02","1","Manhattan","014602","1014602","I","MN32","Yorkville","3805",4528.69533991,1175338.57796,"72",NA,76314.06965,0.06422804,0.022381535,28.0085893,0,0,28.0085893,0.629173757,0.195522479,0.804477521,0.757476295,0.077315828,0.101663812,0.144237827,0.020178951,2099.26875,51124.460696452,5.46037735849057,-73.952205,40.779374
