"","BoroCT2000","Name","popdens","povrate","unemp","busdens","subdens","subacc","intdens","landind","nonres","resid","ptrans","pwalk","propoa","propnonw","offpcap","avg_er_charges_tot","avg_charges_tot","avgChronCond","ctrdlong","ctrdlat"
"1195",3061800,NA,4722.882163,0.030376671,0.012135922,17.21585236,0,0,80.34064433,0.3375409,0.093042048,0.906957953,0.28009828,0.017199017,0.207776428,0.043742406,0.022735344,2238.37894736842,44073.2775,5.41666666666667,-73.943138,40.579441
"1196",3062200,NA,13298.10842,0.149915398,0.063699156,54.95086125,0,0,190.2145197,0.903173539,0.344415247,0.655584753,0.408214585,0.06789606,0.28862047,0.079783853,0.022735344,2183.49972318339,63722.7971020408,7.11278195488722,-73.935484,40.584954
"1197",3062600,NA,8316.100071,0.13115997,0.094986807,3.152426107,0,0,50.43881771,0.963179032,0.404056048,0.595943952,0.456500489,0.045943304,0.196739955,0.261940864,0.022735344,1600.2398540146,32282.3425666667,6.11111111111111,-73.93426,40.593366
"1198",3062800,NA,6673.13509,0.072757112,0.028861154,12.11315137,0,0,153.8370224,0.946102095,0.383920388,0.616079612,0.252729478,0.053376466,0.12815393,0.02377927,0.022735344,1631.90662037037,47980.2230098453,5.484,-73.925724,40.589809
"1199",3063200,NA,10732.07192,0.070401211,0.053211009,16.24840563,0,0,64.9936225,0.311737293,0.085192,0.914808,0.308139535,0.034883721,0.320968963,0.09008327,0.022735344,1587.81660714286,42142.6528537736,5.87333333333333,-73.931269,40.600092
"1200",3063600,NA,11905.82759,0.014285714,0.023066486,17.90350013,0,0,53.7105004,0.274290562,0.074057094,0.925942906,0.318965517,0.037356322,0.157894737,0.062406015,0.019976862,1218.59711864407,26129.8950446429,5.84615384615385,-73.936646,40.610407
"1201",3063800,NA,10367.87649,0.120923913,0.021337127,42.26036612,0,0,77.47733788,0.030945275,0.007797114,0.992202886,0.352592593,0.056296296,0.205163044,0.135869565,0.022735344,1261.6206,26545.1719844358,5.85227272727273,-73.939269,40.605967
"1202",3064000,NA,9698.042562,0.062376888,0.037735849,31.83861642,0,0,44.57406299,0.270986074,0.073088438,0.926911562,0.303630363,0.066006601,0.181877873,0.081418253,0.019976862,1425.76252631579,39853.9738111888,5.87,-73.940651,40.610615
"1203",3064200,NA,11583.2987,0.125142207,0.050966608,17.49743007,0,0,104.9845804,0.968806058,0.411690966,0.588309034,0.396764986,0.086584206,0.164274925,0.104984894,0.022735344,1482.37273224044,42153.4131918506,6.79901960784314,-73.946761,40.612922
"1204",3064400,NA,11626.75344,0.07337884,0.046511628,19.84087617,0,0,89.28394278,0.709833465,0.230664459,0.769335541,0.294052863,0.0969163,0.106228669,0.128412969,0.019976862,1219.27790322581,28153.197079646,5.36708860759494,-73.942425,40.612194
"1205",3064600,NA,12928.75014,0.038811691,0.011969532,0,0,0,55.46174988,0.878773809,0.325912241,0.674087759,0.37286203,0.018244014,0.139656816,0.126310772,0.019976862,1292.35616438356,58418.6735813953,5.94666666666667,-73.939886,40.6167
"1206",3064800,NA,13252.09028,0.046907217,0.039800995,0,0,0,75.14071807,0.22522561,0.059893652,0.940106348,0.429025424,0.04661017,0.090206186,0.34072165,0.019976862,1597.42714285714,29373.573872549,5.69014084507042,-73.937091,40.618485
