ctuniq,boroCT2000,ctrdlong,ctrdlat,popdens,povrate,unemp,busdens,subdens,subacc,intdens,landind,nonres,resid,ptrans,pwalk,propoa,propnonw,borocodenum
QN004001,4004001,-73.845933000,40.682435000,10118.486795,0.0944570136,0.0889192886,0,0,0,108.49393291,0.9561511083,0.3952993652,0.6047006348,0.4618902439,0.0807926829,0.1309255079,0.4836343115,4
QN004002,4004002,-73.843127000,40.680883000,8846.9854322,0.2043269231,0.0980392157,0,14.17786127,1,113.42289016,0.9971769984,0.5265659631,0.4734340369,0.4521384929,0.0855397149,0.1153846154,0.5865384615,4
QN004100,4004100,-73.939636000,40.760736000,6473.5782104,0.2476190476,0.1629213483,0,0,0,54.802778501,0.5353704409,0.8408187051,0.1591812949,0.2664359862,0.107266436,0.0962962963,0.6349206349,4
QN004200,4004200,-73.857062000,40.681320000,19266.730889,0.2831763122,0.0691780822,0,0,0,113.33371111,0.7775135099,0.2641576321,0.7358423679,0.5292353823,0.0554722639,0.1050802139,0.6101604278,4
QN004300,4004300,-73.937933000,40.759177000,14788.082045,0.4072229141,0.2383488682,0,0,0,78.983182658,0.9782443046,0.42625094,0.57374906,0.6155234657,0.2364620939,0.1499589154,0.7313064914,4
QN004401,4004401,-73.859616000,40.675988000,11925.446217,0.1838536739,0.1089023336,0,7.5215680965,1,112.82352145,0.6589583322,0.2080061354,0.7919938646,0.5721343874,0.0177865613,0.114474929,0.6480605487,4
QN004402,4004402,-73.859222000,40.670844000,1347.1833233,0,0.2105263158,11.817397573,0,0,118.17397573,0.3452297603,0.095410628,0.904589372,0.2133333333,0.3066666667,0,0.2368421053,4
QN004500,4004500,-73.934790000,40.764164000,14869.137496,0.0663507109,0.0348330914,0,0,0,93.959794604,0.9787059255,0.4270375533,0.5729624467,0.5418908532,0.0361260569,0.3115323855,0.341864139,4
QN004700,4004700,-73.932679000,40.758813000,25003.522814,0.2932822362,0.1469142545,0,0,0,56.365019869,0.6121975788,0.1886310785,0.8113689215,0.5371506476,0.1349693252,0.1284941389,0.6045987376,4
QN004900,4004900,-73.934909000,40.757717000,4157.4219676,0.0621761658,0.031358885,0,0,0,57.442790571,0.5439705748,0.8376497539,0.1623502461,0.7194244604,0.0899280576,0.1088082902,0.6735751295,4
QN005000,4005000,-73.855959000,40.676285000,652.23468025,0,0,0,6.2117588595,1,43.482312017,0.8676671592,0.3181120944,0.6818879056,1,0,0,0.7333333333,4
QN005100,4005100,-73.932385000,40.754812000,19845.694153,0.1550561798,0.0482553823,0,14.865688504,1,96.626975278,0.8029656785,0.7219427412,0.2780572588,0.5103503185,0.1576433121,0.0588014981,0.6580524345,4
QN005200,4005200,-73.854005000,40.680154000,16455.612957,0.2057906459,0.1288416076,0,7.3071105493,1,102.29954769,0.4362763662,0.1245923436,0.8754076564,0.5767634855,0.0179806362,0.0661634103,0.5963587922,4
QN005300,4005300,-73.929207000,40.760386000,30225.960077,0.2081928523,0.0640941792,0,5.0663694397,1,75.995541595,0.5366633451,0.1596558158,0.8403441842,0.7140338505,0.0578279267,0.1111297352,0.4515588334,4
QN005400,4005400,-73.848740000,40.678197000,12403.67285,0.1471150172,0.0659062104,0,14.191845366,1,106.43884024,0.8744684365,0.3228478313,0.6771521687,0.4533271719,0.053142329,0.106979405,0.489511823,4
QN005500,4005500,-73.927659000,40.752243000,7372.374461,0.1773927393,0.0897887324,0,12.095774341,1,66.526758877,0.3365468324,0.9072631728,0.0927368272,0.6382536383,0.2661122661,0.0188679245,0.6382280558,4
QN005700,4005700,-73.924729000,40.757188000,21981.568473,0.2411680621,0.0804236956,0,0,0,53.788503604,0.9173544695,0.6437406784,0.3562593216,0.7612456747,0.0774221453,0.0935970636,0.5205954323,4
